top,Precision_Average,se,Num_Queries_Contributing
1,0.7,Yahoo,50
2,0.67,Yahoo,50
3,0.6733333333333333,Yahoo,50
4,0.63,Yahoo,50
5,0.6320000000000001,Yahoo,50
6,0.6199999999999999,Yahoo,50
7,0.6085714285714287,Yahoo,50
8,0.61,Yahoo,50
9,0.6200000000000001,Yahoo,50
10,0.606,Yahoo,50
11,0.6,Yahoo,50
12,0.5966666666666667,Yahoo,50
13,0.5876923076923078,Yahoo,50
14,0.5871428571428573,Yahoo,50
15,0.5813333333333336,Yahoo,50
16,0.5725,Yahoo,50
17,0.5694117647058825,Yahoo,50
18,0.5816326530612246,Yahoo,49
19,0.5833333333333334,Yahoo,48
20,0.5812499999999999,Yahoo,48
