top,Precision_Average,se,Num_Queries_Contributing
1,0.58,Bing,50
2,0.57,Bing,50
3,0.5933333333333333,Bing,50
4,0.565,Bing,50
5,0.5519999999999999,Bing,50
6,0.5433333333333334,Bing,50
7,0.5285714285714284,Bing,50
8,0.5175,Bing,50
9,0.511111111111111,Bing,50
10,0.504,Bing,50
11,0.5181818181818182,Bing,50
12,0.5083333333333333,Bing,50
13,0.5046153846153846,Bing,50
14,0.507142857142857,Bing,50
15,0.5066666666666665,Bing,50
16,0.5075,Bing,50
17,0.5058823529411764,Bing,50
18,0.5044444444444445,Bing,50
19,0.5010526315789472,Bing,50
20,0.499,Bing,50
