top,Precision_Average,se,Num_Queries_Contributing
1,0.6122448979591837,Bing,49
2,0.5714285714285714,Bing,49
3,0.5714285714285715,Bing,49
4,0.5867346938775511,Bing,49
5,0.5795918367346939,Bing,49
6,0.5748299319727891,Bing,49
7,0.5685131195335278,Bing,49
8,0.5739795918367347,Bing,49
9,0.5578231292517007,Bing,49
10,0.546938775510204,Bing,49
11,0.5473484848484848,Bing,48
12,0.5416666666666669,Bing,48
13,0.5416666666666667,Bing,48
14,0.5491071428571427,Bing,48
15,0.5560283687943263,Bing,47
16,0.5598404255319149,Bing,47
17,0.557544757033248,Bing,46
18,0.5456790123456788,Bing,45
19,0.5540166204986149,Bing,38
20,0.5472222222222222,Bing,36
